fbaInstructionReplenishId, guid_
fbaInstructionId, guid_
apiId, integer_
fbaInstructionNumber, string_
fbaInstructionHandlingCode, string_
handlingStatusCode, string_
quantity, integer_
warehouseId, integer_
warehouseApiId, integer_
createOn, Datetime_
modifyOn, Datetime_
cancelRemarks, string_
replenishStatusCode, string_
shipmentNumber, string_
newShipmentReferenceId, string_
newShipmentWeight, decimal_
newShipmentWeightUom, string_
newShipmentDimension1, decimal_
newShipmentDimension2, decimal_
newShipmentDimension3, decimal_
newShipmentDimensionUom, string_
newShipmentDate, Datetime_
provideLabel, bool_
newShipmentCountryCode, string_
newShipmentFbaName, string_
newShipmentStreet1, string_
newShipmentStreet2, string_
newShipmentStreet3, string_
newShipmentState, string_
newShipmentCity, string_
newShipmentPostalCode, string_
filename, string_
fileExt, string_
s3OriginalFileKey, string_
isLabelDeleted, bool_
fbaInstructionReplenishItemList, List<:ref:`structure-GetFbaInstructionReplenishItemReply`>
