fbaRelabelShipmentId, string_,,Max Length 35
apiId, string_,,Max Length 35
shipmentNumber, string_
newShipmentId, string_
newShipmentWeight, Decimal_
newShipmentWeightUom, string_
newShipmentDimension1, Decimal_
newShipmentDimension2, Decimal_
newShipmentDimension3, Decimal_
newShipmentDimensionUom, string_
newShipmentStatusCode, string_
newShipmentDateStr, string_
provideLabel, bool_
newShipmentCountryCode, string_
newShipmentFbaName, string_
newShipmentStreet1, string_
newShipmentStreet2, string_
newShipmentStreet3, string_
newShipmentState, string_
newShipmentCity, string_
newShipmentPostalCode, string_
modifyOn, DateTime_
modifyBy, string_
modifyOnStr, string_
createOn, DateTime_
createBy, string_
createOnStr, string_
