fbaRemovalShipmentId, string_,Max Length 35
warehouseId, string_,Max Length 35
apiId, string_,Max Length 35
fbaRemovalOrderId, string_,Max Length 35
trackingNumber, string_, Alphanumeric; hyphen and underscore; max length 50
shipmentStatusCode, string_
weight,decimal_
weightUom, string_
dimension1, decimal_
dimension2, decimal_
dimension3, decimal_
dimensionUom, string_
deliverDateStr, string_
stockAge, decimal_
modifyOn,Datetime_
modifyBy, string_
modifyOnStr, string_
createOn,Datetime_
createBy, string_
createOnStr, string_
