   labelId, string_,Max Length 35
   shipmentId, string_,Max Length 35
   refKey, string_
   labelRequestId, string_,Max Length 35
   labelRequestStatusCode, string_
   serviceType, string_
   trackingNumber, string_ ,Alphanumeric; hyphen and underscore; max length 50
   labelUrl, string_
   error, string_
   fromCountryCode, string_
   fromName, string_
   fromPhone, string_
   fromFax, string_
   fromEamil, string_
   fromStreet1, string_
   fromStreet2, string_
   fromStreet3, string_
   fromState, string_
   fromCity, string_
   fromPostalCode, string_
   toCountryCode, string_
   toName, string_
   toPhone, string_
   toFax, string_
   toEamil, string_
   toStreet1, string_
   toStreet2, string_
   toStreet3, string_
   toState, string_
   toCity, string_
   toPostalCode, string_
   carrier, string_
