apiName, string_
shipmentNumber, string_
newShipmentId, string_
newShipmentWeight, Decimal_
newShipmentWeightUom, string_
newShipmentDimension1, Decimal_
newShipmentDimension2, Decimal_
newShipmentDimension3, Decimal_
newShipmentDimensionUom, string_
newShipmentStatusCode, string_
newShipmentDateStr, string_
removalOrderId, string_
trackingNumber, string_, Alphanumeric; hyphen and underscore; max length 50
fnsku, string_
fbaRelabelId, long_
apiId, integer_
fbaInventoryId, long_
newFnsku, string_
quantity, integer_
handlingStatusCode, string_
repackStatusCode, string_
fbaRelabelShipmentId, long_
modifyOn, DateTime_
modifyBy, string_
modifyOnStr, string_
createOn, DateTime_
createBy, string_
createOnStr, string_
