shipmentCountryCode, string_, YES, ``deu`` ``bel`` ``nld`` ``lux`` ``ita`` ``esp`` ``irl`` ``aut`` ``prt`` ``est`` ``ltu`` ``pol`` ``cze`` ``svk`` ``svn`` ``hun`` ``grc`` ``fin`` ``hrv`` ``rou`` ``dnk`` ``bgr`` ``lva`` ``swe``
shipmentName, string_, YES, Max Length 50
shipmentPhone, string_, , Max Length 20
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 70; Regex:
shipmentStreet1, string_, YES, Max Length 70; The combined length of Address1 + Address2 + Address3 must be less than 90 characters
shipmentStreet2, string_, , Max Length 70
shipmentStreet3, string_, , Max Length 70
shipmentState, string_, , Max Length 50
shipmentCity, string_, YES, Max Length 40
shipmentPostalCode, string_, YES, Max Length 10
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
