shipmentCountryCode, string_, YES, ``usa``
shipmentName, string_, YES, Max Length 50
shipmentPhone, string_, , Max Length 26
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 50
shipmentStreet1, string_, YES, Max Length 50
shipmentStreet2, string_, , Max Length 50
shipmentStreet3, string_, , Max Length 50
shipmentState, string_, YES, Length 2
shipmentCity, string_, YES, Max Length 40
shipmentPostalCode, string_, YES, "Regex: ``^\d{5}(-\d{4})?$``"
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
