shipmentCountryCode, string_, YES, ``deu`` ``bel`` ``nld`` ``lux`` ``ita`` ``esp`` ``irl`` ``aut`` ``prt`` ``est`` ``ltu`` ``pol`` ``cze`` ``svk`` ``svn`` ``hun`` ``grc`` ``fin`` ``hrv`` ``rou``
shipmentName, string_, YES, Max Length 35
shipmentPhone, string_, YES, Max Length 20
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 80
shipmentStreet1, string_, YES, Max Length 35
shipmentStreet2, string_, , Max Length 35
shipmentStreet3, string_, , Max Length 35
shipmentState, string_, , Max Length 50
shipmentCity, string_, YES, Max Length 30
shipmentPostalCode, string_, YES, Max Length 10
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
