shipmentCountryCode, string_, YES, ``usa``
shipmentName, string_, YES, Max Length 30
shipmentPhone, string_, YES, "Regex: ``^[\+]?[0-9\s]{10,16}$``"
shipmentFax, string_, , Max Length 16
shipmentEmail, string_, , "Regex: ``^([a-zA-Z0-9_\-\.\+]+)@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|(([a-zA-Z0-9\-]+\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\]?)$``"
shipmentStreet1, string_, YES, Max Length 30
shipmentStreet2, string_, , Max Length 30
shipmentStreet3, string_, , Max Length 29; When Address3 has value the total length of Address1 + Address2 + Address3 must not exceed 59 characters.
shipmentState, string_, , Length 2
shipmentCity, string_, YES, Max Length 30
shipmentPostalCode, string_, YES, Regex: ``^\d{5}$``
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive; The maximum length must not exceed 274 cm; The maximum size (length + 2 * width + 2 * height) must not exceed 419 cm
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
