shipmentCountryCode, string_, YES, ``gbr``
shipmentName, string_, YES, Max Length 24
shipmentPhone, string_, , "Length 5 ~ 30; Regex: ``^[0-9\-\s\(\)]+$``"
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 255
shipmentStreet1, string_, YES, Max Length 40; The total length of Address1 + Address2 + Address3 must not exceed 90 characters
shipmentStreet2, string_, YES, Max Length 40
shipmentStreet3, string_, , Max Length 50
shipmentState, string_, , Max Length 50
shipmentCity, string_, YES, Max Length 30
shipmentPostalCode, string_, YES, "Regex: ``^[A-Z]{1,2}\d[A-Z\d]? \d[A-Z]{2}$``"
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
