shipmentCountryCode, string_, YES, ``aus``
shipmentName, string_, YES, Max Length 40
shipmentPhone, string_, , Max Length 14
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 255
shipmentStreet1, string_, YES, Max Length 45
shipmentStreet2, string_, , Max Length 45
shipmentStreet3, string_, , Max Length 50
shipmentState, string_, YES, Length 3
shipmentCity, string_, YES, Max Length 30
shipmentPostalCode, string_, YES, "Max Length 5; Regex: ``^\d{4,5}$``"
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive; Max cubic dimensions 100000 cm³
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
