shipmentCountryCode, string_, YES, ``aus``
shipmentName, string_, YES, Max Length 35
shipmentPhone, string_, YES, Max Length 20
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 50
shipmentStreet1, string_, YES, Max Length 40
shipmentStreet2, string_, , Max Length 60
shipmentStreet3, string_, , Max Length 80
shipmentState, string_, YES, Length 80
shipmentCity, string_, YES, Max Length 80
shipmentPostalCode, string_, YES, Max Length 16
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive; Max length 105 cm; Max cubic dimensions 250000 cm³
dimension2, decimal_, YES, Positive; Max length 105 cm
dimension3, decimal_, YES, Positive; Max length 105 cm
