shipmentCountryCode, string_, YES, ``usa``
shipmentName, string_, YES, Max Length 30
shipmentPhone, string_, YES, "Regex: ``^[\+]?[0-9\s]{10,14}$``"
shipmentFax, string_, , Max Length 50
shipmentEmail, string_, , Max Length 255
shipmentStreet1, string_, YES, Max Length 30; The total length of Address1 + Address2 + Address3 must not exceed 90 characters.
shipmentStreet2, string_, , Max Length 30
shipmentStreet3, string_, , Max Length 30
shipmentState, string_, YES, Length 2
shipmentCity, string_, YES, Max Length 30
shipmentPostalCode, string_, YES, Regex: ``^\d{5}$``
weight, decimal_, YES, Positive
dimension1, decimal_, YES, Positive; The maximum length must not exceed 270 cm; The maximum size (length + 2 * width + 2 * height) must not exceed 415 cm
dimension2, decimal_, YES, Positive
dimension3, decimal_, YES, Positive
