resendShipmentId, long_
apiId, long_
resendId, long_
warehouseId, long_
resendShipmentNumber, string_
shipmentServiceType, integer_
shipmentCountryCode, string_
warehouseRemarks, string_
shipmentName, string_
shipmentPhone, string_
shipmentFax, string_
shipmentEmail, string_
shipmentStreet1, string_
shipmentStreet2, string_
shipmentStreet3, string_
shipmentState, string_
shipmentCity, string_
shipmentPostalCode, string_
trackingNumber, string_
modifyOn, DateTime_
modifyBy, string_
createOn, DateTime_
createBy, string_
